state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
"Tamil Nadu",Chengalpattu,Maduranthakam,Veeranakunnam,Veeranakunnam,Keelapattu,0000945968,0000391507,PUPS,24,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Viralur,Viralur,Devanur,0000945982,0000391514,PUPS,19,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Zaminendathur,Z.endathur,Zaminendathur,0000945989,0000391517,GHS,186,Govt.,"Secondary/Sr. Sec. with grades 6 to 10",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Karunakaracheri,Karunagaracheri,Palliagaram,0000945747,0001818386,"UDHAYAN SEPECIAL CHALLENGED PERSON SCHOOL",10,Private,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kinar,Kinar,"K K Budur",0000945769,0001668350,"ST SUSAIYAPPAR HIGHER SEC SCHOOL",182,Govt.,"Secondary/Sr. Sec. with grades 6 to 10",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kunnathur,Kunnathur,"Thatchur Village",0000945794,0001667313,"RC MIDDLE SCHOOL",196,"Govt. Aided","Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Sithandi,Sithandi,"Sidhandi Mandapam",0000945939,0001668195,GHS,230,Govt.,"Secondary/Sr. Sec. with grades 6 to 10",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Viralur,Viralur,Nagamalai,0000945980,0001660849,PUPS,14,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Saravampakkam,Saravampakkam,"Ngo Nagar",0001688646,0001818231,"PRINCE NURSARY AND PRIMARY SCHOOL",96,Private,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Bukkathurai,Bukkathurai,Bukkathurai,0000945709,0000391413,PUPS,83,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Irumbedu,Irumbedu,Irumbedu,0000945734,0000391422,"ADW SCHOOL",35,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Karunakaracheri,Karunagaracheri,Palliagaram,0000945747,0000391426,PUPS,39,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kilakandai,Kilakandai,Athivakkam,0000945786,0000391439,PUPS,71,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Keelavalam,Keelavalam,Keelavalam,0000945789,0000391440,PUPS,34,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mangalam,Mangalam,"Mangalam Colony",0000945812,0000391449,PUPS,18,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Munnithikuppam,Munuthikuppam,Munnithikuppam,0000945819,0000391453,PUMS,77,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Munnithikuppam,Munuthikuppam,Valarpirai,0000945821,0000391454,"CSI PRIMARY SCHOOL",18,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nallur,Nallur,"Vazhapattu Nemili",0000945839,0000391461,PUPS,29,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Neerpair,Neerpair,Neerpair,0000945842,0000391463,"DR.ARULAPPA HIGHER SECONDARY SCHOOL",382,"Govt. Aided","Higher Secondary with grades 6 to 12",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nethapakkam,Nethapakkam,Vasanthavadi,0000945858,0000391469,PUPS,35,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nelv0y,Nelvoy,Nelvoy,0000945876,0000391476,PUMS,159,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Padalam,Padalam,Padalam,0000945884,0001121213,PUMS,90,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pudupattu,Pudupattu,Sathamai,0000945906,0000391490,PUPS,34,Govt.,"Primary only with grades 1 to 5",2023-01-18
