state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,Hassan,Arkalgud,Yalagathavally,Yagati,"Karigowdana Koppalu",0000380393,0002125064,"GLPS  KARIGOWDANAKOPPALU",21,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Koratikere,Kortikere,Kortikere,0000379999,0000059999,"HPS KORTIKERE",51,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Belvadi,Ankanhally,"Ankana Hally",0000380040,0000060043,"GLPS ANKANAHALLI",3,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Belvadi,Seebally,Seebahally,0000380044,0000060046,"GLPS SEEBALLY",25,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Bychanahally,"P.chakena Hally","P.chakena Hally",0000380053,0000060058,"LPS P.CHAKANAHALLY",24,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Bychanahally,"Doddagavana Hally","Doddagavana Hally",0000380056,0000060060,"HPS DODDAGAVANAHALLY",39,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Doddamagge,Barguru,Barguru,0000380093,0000060099,"HPS BARAGURU",32,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Tarigalale,Majjanahally,Majjanahally,0000380130,0000060137,"GHPS MANJANAHALLY",34,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Aladahalli,Musavathur,Musavathur,0000380180,0000060181,"government HPS MUSAVATHUR",44,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Mokali,Muthige,Muthige,0000380187,0000060189,"HPS muthige",41,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Honnavally,Naigere,Naigere,0000380191,0000060194,"HPS naigere",28,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Heggadihalli,Allapatna,Allapatna,0000380209,0000060208,"government hPS allapatna",49,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,"Kathimallena Hally","Kathimallena Hally","Kathimallena Hally",0000380236,0000060239,"HPS KATHIMALLENAHALLY(TGT)",88,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Hanyalu,Mallapura,Mallapura,0000380267,0000060276,"HPS MALLAPURA",60,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Bannur,Bannur,Bannur,0000380021,0001701937,"GHPS  BANNUR SANTHEMALA",22,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Tarigalale,Chikkabommenahally,"Chikkabommena Hally",0000380023,0000812408,"LPS CHIKKABONNAHALLI",22,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Doddabemmathi,Doddabemmathi,Doddabemmathi,0000380071,0000862697,"GPUC DODDABEMATHI",31,Govt.,"Hr. Sec. /Jr. College only with grades 11 and 12",2023-01-18
Karnataka,Hassan,Arkalgud,Ganjalgud,Ganjalgud,Ganjalgud,0000380107,0001698446,"GHPS  GANJALAGUD 8UP",91,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Handrangi,Heggathoor,Heggathoor,0000380139,0001323553,"GLPS HEGGATHOORU KOPPALU",9,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Mallipatana,"Siradana Hally","Siradana Hally",0000380284,0000060292,"government LPS siradanahalli",12,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Ramanathpura,Bilaguli,"Ramana Koppalu",0000380303,0000862810,"GLPS RAMANAKOPPALU",30,Govt.,"Primary only with grades 1 to 5",2023-01-18
